,,,,,,,,,첫날,,,,,,
순위,영화명,개봉일,총 매출액,매출액 점유율, 총 관객수,총 스크린수,총 상영횟수,,첫날 관객수,첫날 매출액,첫날 스크린수,첫날 상영횟수,,마지막 상영날짜 (상영종료일),총 상영 일수 (Days)
132,영화 이상한 과자 가게 전천당,2025-02-19,"472,242,300",0.0%,"55,862",246,"4,533",,"3,941","29,687,200",198,392,,2025-03-05,14
133,라스트 마일,2025-03-26,"444,015,120",0.0%,"53,013",166,"5,626",,"4,031","31,243,200",148,362,,2025-04-09,14
134,첫 번째 키스,2025-02-26,"418,075,160",0.0%,"52,646",184,"5,766",,"6,199","44,466,100",184,525,,2025-03-12,14
135,이찬원 콘서트 찬가: 디어 마이 찬스,2025-02-26,"1,283,263,500",0.1%,"51,570",82,"1,579",,"12,708","317,663,500",82,184,,2025-03-12,14
136,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,"463,613,700",0.0%,"51,308",208,"4,469",,"7,030","67,181,900",190,374,,2025-02-10,14
137,여행과 나날,2025-12-10,"480,534,911",0.0%,"50,586",154,"2,283",,"3,786","34,455,600",136,163,,2025-12-24,14
138,투게더,2025-09-03,"416,224,000",0.0%,"50,176",251,"5,467",,"7,925","56,333,900",251,646,,2025-09-17,14
,,,,,,,,,,,,,,,
140,엘리: 몬스터 패밀리,2025-02-14,"412,149,440",0.0%,"49,325",345,"3,880",,"4,324","32,788,600",273,310,,2025-02-28,14
141,식스데이즈,2025-08-13,"1,027,874,000",0.1%,"46,901",117,"2,983",,"15,344","337,568,000",110,275,,2025-08-27,14
142,꼬마 판다 팡의 아프리카 대모험,2025-01-22,"359,593,000",0.0%,"44,972",198,"3,403",,"1,729","12,133,400",159,246,,2025-02-05,14
143,백수아파트,2025-02-26,"375,946,960",0.0%,"43,369",456,"5,762",,"6,130","47,536,800",456,922,,2025-03-12,14
144,브리짓 존스의 일기: 뉴 챕터,2025-04-16,"393,789,120",0.0%,"43,012",495,"7,916",,"3,169","28,605,300",495,"1,010",,2025-04-30,14
